MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.125,39,3.7456140351,1.0614035088,389,1.7061403509,37.81,-122.25,2.375
2.5795,52,3.515497553,1.1435562806,895,1.4600326264,37.81,-122.25,3.5
2.8406,34,3.2817216322,1.0698714366,2689,1.5030743432,37.81,-122.26,3.357
4.9306,52,6.1844262295,0.9221311475,674,2.762295082,37.82,-122.24,3.134
3.2727,52,4.4429824561,1.0570175439,709,1.5548245614,37.81,-122.24,2.685
3.1691,52,4.1658767773,1.0900473934,686,1.6255924171,37.81,-122.25,2.594
3.9,52,4.848189415,1.0459610028,1444,2.0111420613,37.82,-122.24,2.757
3.9063,28,4.1608478803,1.066084788,1520,1.8952618454,37.82,-122.25,2.25
5.0917,52,5.628458498,1.1422924901,550,2.1739130435,37.82,-122.25,2.625
2.6429,32,3.7270058708,1.0743639922,1806,1.7671232877,37.82,-122.25,2.185
3.0233,26,3.2530813476,0.9827444536,1749,1.4371405094,37.82,-122.25,2.55
3.1484,52,4.5780346821,1.0770712909,939,1.8092485549,37.83,-122.25,2.241
3.4722,35,3.8222748815,1.0142180095,675,1.5995260664,37.83,-122.25,2.431
3.1429,52,4.3951890034,0.9862542955,534,1.8350515464,37.83,-122.25,2.316
2.4234,28,3.0234798314,1.0535821794,2558,1.5400361228,37.83,-122.25,2.185
3.0897,52,4.0405014465,1.0655737705,1786,1.7222757956,37.83,-122.25,2.341
5.8596,50,6.7426273458,1.0697050938,970,2.600536193,37.84,-122.23,3.276
5.2868,47,6.5463917526,0.9360824742,1098,2.2639175258,37.84,-122.23,3.476
5.956,41,6.8510638298,1.079787234,794,2.1117021277,37.83,-122.24,3.661
4.9643,37,7.1063829787,1.1489361702,98,2.085106383,37.85,-122.24,3.35
6.3434,52,6.9478908189,1.0198511166,1061,2.6327543424,37.85,-122.23,3.736
5.1773,52,6.3585585586,1.0342342342,1177,2.1207207207,37.84,-122.24,3.895
7.2354,52,7.1171662125,0.9945504087,901,2.4550408719,37.85,-122.24,3.911
5.457,28,5.530334728,1.0962343096,2031,2.1244769874,37.85,-122.22,3.373
7.5,50,6.127348643,0.987473904,1031,2.1524008351,37.84,-122.22,2.952
6.0194,44,5.7353433836,1,1358,2.2747068677,37.84,-122.21,2.923
7.5544,40,7.6314984709,1.0305810398,1616,2.4709480122,37.83,-122.21,4.115
6.0666,30,6.4460641399,1.0087463557,844,2.4606413994,37.84,-122.2,3.115
7.0548,34,6.125,0.9879032258,1140,2.2983870968,37.84,-122.21,3.259
11.6017,18,8.3350515464,1.0824742268,533,2.7474226804,37.84,-122.19,3.926
7.4882,35,6.467268623,1.0383747178,1072,2.4198645598,37.84,-122.2,3.193
6.8976,34,6.6122715405,1.0287206266,1627,2.1240208877,37.83,-122.21,3.333
8.2049,28,6.9789473684,0.9684210526,463,2.4368421053,37.83,-122.19,3.352
8.401,26,7.5308056872,1.0568720379,542,2.5687203791,37.83,-122.2,3.512
6.8538,29,6.6579925651,1.0074349442,661,2.4572490706,37.83,-122.19,3.689
8.317,32,6.9771863118,1.0038022814,635,2.4144486692,37.82,-122.19,3.659
7.0175,37,6.9829545455,1.0284090909,420,2.3863636364,37.82,-122.2,3.667
6.3302,39,7.54,1.068,1265,2.53,37.82,-122.2,3.628
6.3624,30,5.6153846154,0.7307692308,126,2.4230769231,37.81,-122.18,4.833
7.0549,52,6.7857142857,0.9514285714,813,2.3228571429,37.82,-122.21,3.314
6.7851,45,6.9577464789,1.0234741784,1067,2.5046948357,37.81,-122.2,3.235
2.8929,50,5.1322463768,1.0960144928,1260,2.2826086957,37.8,-122.21,2.167
3.0812,38,4.6283367556,1.0985626283,951,1.9527720739,37.8,-122.21,2.331
5.2402,52,6.2008928571,0.9464285714,510,2.2767857143,37.81,-122.21,2.964
6.5217,52,6.3993506494,1.0876623377,765,2.4837662338,37.81,-122.22,2.737
3.2632,52,4.7456521739,1.0108695652,1129,2.4543478261,37.8,-122.22,2.277
3.0298,52,5.1836734694,1.052154195,1073,2.433106576,37.8,-122.22,1.996
4.5428,52,5.2834951456,1.0504854369,1185,2.3009708738,37.8,-122.22,2.398
4.072,52,5.9529411765,0.9970588235,756,2.2235294118,37.81,-122.22,2.701
5.3509,52,5.650671785,1.0287907869,1034,1.9846449136,37.81,-122.22,3.021
3.1603,52,4.4291938998,1.0588235294,787,1.7145969499,37.8,-122.23,2.695
4.7708,52,6.7276995305,1.0751173709,612,2.8732394366,37.81,-122.23,3.147
8.1564,52,7.7026315789,1.0578947368,1021,2.6868421053,37.81,-122.22,3.901
8.8793,52,8.9728682171,1.1317829457,861,3.3372093023,37.81,-122.23,4.103
6.8591,52,7.5993883792,0.9571865443,953,2.9143730887,37.81,-122.24,3.524
6.0302,52,5.8203125,0.9296875,634,2.4765625,37.81,-122.24,2.873
7.508,52,7.9943181818,1.0369318182,878,2.4943181818,37.81,-122.23,3.487
2.7477,52,4.3333333333,1.1387163561,918,1.900621118,37.81,-122.24,2.438
2.1944,52,5.0742857143,0.96,360,2.0571428571,37.8,-122.24,2.115
3.0149,52,4.2766393443,1.0450819672,1197,2.4528688525,37.8,-122.25,2.184
3.675,52,4.8513513514,0.9691119691,1048,2.0231660232,37.81,-122.24,2.699
3.225,46,4.3266398929,1.1178045515,1373,1.8380187416,37.81,-122.25,2.188
2.9345,42,4.0591133005,1.0492610837,1715,1.6896551724,37.8,-122.25,2.25
2.1429,43,3.2742382271,1.0969529086,1359,1.8822714681,37.8,-122.25,2.5
1.6121,41,3.5617433414,1.1355932203,1062,2.5714285714,37.8,-122.25,1.714
1.3929,29,3.1927554981,1.1177231565,1335,1.7270375162,37.8,-122.25,1.938
2.3173,27,3.8041958042,1.1468531469,1171,2.7296037296,37.79,-122.24,1.25
1.7772,45,3.8826086957,1.1434782609,1475,3.2065217391,37.79,-122.25,0.975
2.6458,50,3.2091836735,0.9591836735,742,3.7857142857,37.79,-122.25,1.25
2.181,52,3.6887052342,1.0771349862,1086,2.9917355372,37.79,-122.25,1.388
2.2303,36,3.0902394107,1.1160220994,1645,3.02946593,37.8,-122.25,1.167
1.6504,43,3.6397515528,1.0046583851,1710,2.6552795031,37.8,-122.25,1.518
2.2697,52,4.3684210526,1,731,3.2061403509,37.8,-122.24,1.27
2.1563,52,4.5850144092,1.0749279539,1118,3.2219020173,37.8,-122.24,1.286
2.1348,52,4.7343283582,1.1880597015,1006,3.0029850746,37.8,-122.24,1.406
2.6292,47,3.6931407942,1.0613718412,1213,2.1895306859,37.8,-122.24,1.827
2.3833,52,4.6381322957,1.1245136187,772,3.0038910506,37.8,-122.23,1.469
2.957,52,4.4962593516,1.0473815461,1321,3.2942643392,37.8,-122.24,1.228
2.5238,49,4.1920236337,1.106351551,1487,2.1964549483,37.8,-122.24,1.693
1.9375,52,4.2096774194,0.9892473118,488,2.623655914,37.8,-122.23,1.266
1.9028,51,4.056122449,1.056122449,949,2.4209183673,37.8,-122.23,1.279
2.25,50,4.2072289157,1.156626506,1149,2.7686746988,37.8,-122.23,1.235
2.3929,52,4.4714285714,1.0678571429,844,3.0142857143,37.8,-122.23,1.119
2.1917,43,4.8440292445,1.0917952884,4367,3.5475223396,37.79,-122.23,1.128
2.9357,52,4.3276699029,0.9587378641,1659,4.0266990291,37.79,-122.23,1.079
1.8854,30,3.7984790875,1.0038022814,1011,3.8441064639,37.79,-122.23,1.375
2.1638,39,3.7763496144,1.1079691517,1464,3.763496144,37.79,-122.24,1.055
2.125,47,4.5280528053,1.303630363,1237,4.0825082508,37.79,-122.24,0.955
3.375,52,4.0119047619,1.0714285714,647,3.8511904762,37.79,-122.24,1.161
2.2542,43,4.5546218487,1.0532212885,1284,3.5966386555,37.79,-122.24,1.122
2.1,51,3.1818181818,0.7818181818,228,4.1454545455,37.79,-122.25,0.75
1.6,39,3.7479674797,1.0487804878,381,3.0975609756,37.79,-122.25,1.125
3.625,52,3.9735682819,1.0440528634,846,3.7268722467,37.79,-122.25,1.25
1.6929,20,3.5103550296,1.1523668639,1659,2.4541420118,37.8,-122.26,1.15
1.6471,52,2.8333333333,0.9275362319,520,3.768115942,37.77,-122.22,0.95
2.59,52,4.38996139,1.1621621622,866,3.3436293436,37.77,-122.22,0.964
2.57,52,4.2021857923,1.1256830601,612,3.3442622951,37.77,-122.23,0.72
2.6429,52,3.746031746,1.1587301587,415,3.2936507937,37.78,-122.23,0.713
3.0257,52,4.0469483568,1.0093896714,994,4.6666666667,37.78,-122.23,0.808
1.4886,50,4.0251572327,1.1111111111,1525,3.1970649895,37.78,-122.22,1.288
1.9338,43,3.2420091324,1.0776255708,1506,3.4383561644,37.78,-122.23,1.125
1.4844,52,3.8666666667,1.0117647059,1008,3.9529411765,37.78,-122.23,1.194
1.6009,44,3.1158455393,1.0985352863,2813,3.7456724368,37.78,-122.23,1.181
2.0375,48,4.944606414,1.1545189504,1481,4.3177842566,37.79,-122.23,1.225
2.293,49,5.3652968037,0.9908675799,859,3.9223744292,37.79,-122.23,1.063
2.1494,37,4.4799235182,1.0975143403,1608,3.0745697897,37.79,-122.22,1.325
1.6198,30,4.3571428571,1.0357142857,425,3.0357142857,37.79,-122.23,1.227
1.3281,40,5.0543478261,1.0815217391,564,3.0652173913,37.79,-122.23,1.133
3.5156,44,5.4669117647,1.1544117647,961,3.5330882353,37.79,-122.22,1.095
3.9048,52,4.998540146,1.0072992701,2273,3.3182481752,37.79,-122.22,1.647
3.0893,52,3.9076923077,0.9743589744,600,3.0769230769,37.79,-122.21,1.25
2.6042,46,4.4895635674,1.0910815939,1647,3.1252371917,37.79,-122.22,1.247
2.5,49,4.3066037736,1.0613207547,1201,2.8325471698,37.79,-122.22,1.367
2.7969,38,4.626707132,1.0789074355,2167,3.2883156297,37.79,-122.22,1.417
2.8321,29,4.8235294118,1.1058823529,939,2.7617647059,37.79,-122.2,1.5
2.9583,47,5.2842465753,1.051369863,859,2.9417808219,37.79,-122.21,1.388
2.8365,34,4.5813953488,1.0794573643,1517,2.9399224806,37.79,-122.21,1.392
2.875,35,4.5207253886,1.0595854922,1143,2.9611398964,37.79,-122.21,1.438
3.0682,39,4.3168103448,1.0775862069,1109,2.3900862069,37.8,-122.21,1.565
3.0757,39,4.5246636771,1.0022421525,1221,2.7376681614,37.8,-122.21,1.51
4.9559,43,6.6923076923,1.0967032967,1115,2.4505494505,37.8,-122.2,2.73
4.7721,52,5.7723880597,1.0932835821,706,2.6343283582,37.8,-122.2,2.171
3.4861,52,4.9844192635,1.007082153,1883,2.6671388102,37.8,-122.21,1.871
5.1184,41,6.0882352941,1.0411764706,804,2.3647058824,37.8,-122.2,2.396
4.0977,48,5.2420634921,1.0436507937,506,2.0079365079,37.8,-122.21,2.297
4.744,48,7.1176470588,1.0882352941,610,2.5630252101,37.8,-122.19,2.573
4.2727,46,5.8373493976,1.0271084337,768,2.313253012,37.8,-122.19,2.469
2.9844,50,5.2608695652,1.0597826087,462,2.5108695652,37.79,-122.19,1.799
4.1739,40,4.5106382979,1.0893617021,667,2.8382978723,37.79,-122.2,1.696
3.8487,46,5.1152882206,1.015037594,1059,2.6541353383,37.8,-122.2,2.033
4.0114,52,6.5451263538,0.9783393502,637,2.2996389892,37.8,-122.19,2.634
4.6563,45,5.986784141,0.9933920705,1106,2.436123348,37.79,-122.19,2.318
2.9297,28,4.6995515695,1.1375186846,1737,2.5964125561,37.79,-122.19,1.405
2.3036,35,4.6205128205,1.1769230769,1009,2.5871794872,37.79,-122.2,1.26
2.6667,49,4.2,0.9285714286,737,3.5095238095,37.79,-122.2,1.22
2.619,44,3.3014256619,0.9205702648,1354,2.7576374745,37.79,-122.2,1.347
2.4167,45,4.4620253165,1.1244725738,1530,3.2278481013,37.79,-122.21,1.394
2.7788,45,4.2104166667,1.1,1410,2.9375,37.79,-122.2,1.154
2.7352,46,3.934973638,0.8927943761,1390,2.4428822496,37.78,-122.21,1.373
1.8472,52,5.4907063197,1.1152416357,1065,3.9591078067,37.78,-122.21,1.37
2.6583,52,4.3102040816,0.9142857143,792,3.2326530612,37.78,-122.21,1.426
3.0536,49,3.6653061224,0.9959183673,779,3.1795918367,37.78,-122.21,1.375
2.3906,44,4.8655737705,1.1639344262,2269,3.7196721311,37.78,-122.22,1.117
1.7188,43,4.1818181818,1.1302211302,1227,3.0147420147,37.78,-122.21,1.268
2.625,47,3.6556016598,1.0290456432,753,3.1244813278,37.78,-122.21,1.113
2.8015,40,3.6592592593,0.8444444444,547,4.0518518519,37.77,-122.22,1.148
1.7276,50,4.0363636364,1.075,1807,4.1068181818,37.78,-122.22,1.023
2.0801,44,3.3898989899,1.0383838384,1700,3.4343434343,37.78,-122.22,1.319
2.489,51,4.165394402,1.1781170483,1543,3.9262086514,37.78,-122.22,1.191
1.7546,52,4.7333333333,1.0466666667,1085,3.6166666667,37.76,-122.21,0.806
4.0904,52,4.3138686131,1.2627737226,353,2.5766423358,37.77,-122.21,0.806
2.6765,52,5,1.0268456376,473,3.1744966443,37.77,-122.21,0.888
2.4338,49,4.7039337474,1.0310559006,1621,3.3561076605,37.77,-122.2,1.024
2.3309,46,3.4858757062,1.0593220339,1183,3.3418079096,37.77,-122.21,0.987
2.2604,43,3.6714801444,1.1841155235,836,3.0180505415,37.77,-122.21,1
1.8039,42,3.5437262357,0.9657794677,900,3.4220532319,37.77,-122.19,0.923
2.2562,39,5.0074487896,1.1117318436,1888,3.5158286778,37.77,-122.2,0.948
2.0562,41,4.5366568915,1.2170087977,1024,3.0029325513,37.77,-122.2,1.02
3.5398,52,5.4373522459,1.0472813239,1225,2.8959810875,37.78,-122.2,1.584
3.1167,39,4.6595744681,1.0611702128,1071,2.8484042553,37.78,-122.2,1.216
2.5401,50,4.9391534392,1.0661375661,1128,2.9841269841,37.78,-122.2,1.291
2.898,43,5.020661157,1.0371900826,1537,3.1756198347,37.77,-122.2,1.214
2.3125,44,4.3994910941,1.0534351145,1240,3.155216285,37.78,-122.21,1.028
2.875,52,6.1071428571,1.0714285714,469,2.7916666667,37.78,-122.19,1.6
3.3715,52,5.1058823529,1.0070588235,1086,2.5552941176,37.77,-122.19,1.439
3.5114,52,5.5851318945,1.067146283,1144,2.7434052758,37.77,-122.19,1.512
4.3125,52,6.6453333333,1.1066666667,1109,2.9573333333,37.78,-122.19,1.644
3.22,52,5.9566395664,1.0758807588,984,2.6666666667,37.78,-122.19,1.565
3.875,33,3.0212765957,0.6595744681,575,12.2340425532,37.78,-122.18,2.25
5.2328,49,5.6602870813,0.980861244,496,2.3732057416,37.78,-122.19,1.742
3.7262,52,5.6315789474,1.0157894737,555,2.9210526316,37.78,-122.19,1.669
4.5893,45,5.4006116208,1.0152905199,869,2.6574923547,37.78,-122.2,1.635
5.2578,39,5.820754717,0.8962264151,236,2.2264150943,37.79,-122.18,2.53
7.0875,41,6.5934579439,1.0887850467,626,2.9252336449,37.79,-122.18,2.407
3.9712,46,6.4103343465,1.1762917933,922,2.8024316109,37.79,-122.18,2.081
2.9514,47,4.80078125,0.94921875,582,2.2734375,37.79,-122.19,1.981
2.6667,50,4.7462686567,1.07960199,546,2.7164179104,37.79,-122.19,1.728
5.4446,37,6.1766917293,0.984962406,620,2.3308270677,37.81,-122.18,3.367
6.2838,34,6.9487179487,1,442,2.2666666667,37.8,-122.18,3.182
6.7527,23,7.0640243902,1.0243902439,955,2.9115853659,37.8,-122.18,2.858
7.0712,24,7.5895061728,0.9783950617,916,2.8271604938,37.77,-122.13,2.93
5.9849,22,6.5287239451,1.0411794611,4985,2.5343162176,37.79,-122.16,3.71
3.6875,42,5.7078651685,0.9737827715,651,2.4382022472,37.78,-122.17,1.573
2.875,30,4.7311522048,1.0611664296,1704,2.4238975818,37.77,-122.17,1.353
3.4205,43,4.8771498771,1.0810810811,1085,2.6658476658,37.78,-122.18,1.367
3.2984,50,5.7816901408,1.1338028169,713,2.5105633803,37.78,-122.18,1.607
3.875,49,4.9337016575,0.9779005525,468,2.5856353591,37.78,-122.17,1.406
4.175,52,5.3966942149,1.0578512397,296,2.4462809917,37.78,-122.17,1.44
4.375,47,5.7614678899,0.995412844,570,2.6146788991,37.77,-122.16,1.619
4.7708,48,5.4277777778,1.0777777778,446,2.4777777778,37.77,-122.16,1.563
3.5739,45,6.0520833333,1.0338541667,968,2.5208333333,37.77,-122.16,1.76
3.0958,39,5.0094936709,1.1044303797,857,2.7120253165,37.77,-122.16,1.458
3.3958,39,5.0062111801,1.0621118012,912,2.8322981366,37.77,-122.17,1.419
1.871,31,5.3628318584,1.1792035398,1360,3.0088495575,37.77,-122.17,0.907
1.9356,41,4.4901408451,1.0338028169,1074,3.0253521127,37.76,-122.17,0.906
2.1842,47,5.5445026178,1.0811518325,965,2.5261780105,37.76,-122.17,1.079
2.2917,37,4.921875,1.11875,933,2.915625,37.76,-122.18,1.07
2.4333,38,4.9830508475,1.1214689266,987,2.7881355932,37.76,-122.17,0.982
1.9479,50,4.825203252,1.0609756098,907,3.6869918699,37.76,-122.18,0.895
3.9063,52,4.5696969697,1.0606060606,447,2.7090909091,37.76,-122.18,0.938
1.8407,49,5.1175166297,1.0022172949,1299,2.8802660754,37.76,-122.18,0.967
2.0786,27,5.7898089172,1.5031847134,396,2.5222929936,37.77,-122.18,0.975
2.8125,42,4.4029850746,0.9589552239,877,3.2723880597,37.77,-122.18,0.973
1.8913,43,5.4986376022,1.1117166213,1111,3.0272479564,37.76,-122.18,0.912
1.7056,49,5.0855018587,1.0483271375,790,2.936802974,37.76,-122.19,0.914
2.2768,52,4.9530685921,0.9873646209,1479,2.6696750903,37.77,-122.18,0.962
3.2552,51,4.8105022831,1.0753424658,1173,2.6780821918,37.77,-122.18,1.201
2.0556,52,4.7759562842,0.9890710383,1029,2.8114754098,37.77,-122.18,1
2.4659,52,5.7828571429,1.1171428571,1030,2.9428571429,37.76,-122.19,0.947
1.75,47,4,0.9283154122,826,2.9605734767,37.76,-122.2,0.857
2.0469,41,4.4845814978,1.1233480176,1412,3.1101321586,37.77,-122.19,0.893
2.7159,45,5.3065902579,1.1260744986,1132,3.2435530086,37.77,-122.19,1.014
1.2083,41,5.7924528302,1.3018867925,522,3.2830188679,37.76,-122.19,0.725
1.925,45,4.1983122363,1.0042194093,630,2.6582278481,37.76,-122.19,0.741
1.5809,36,4.5563909774,0.992481203,531,3.992481203,37.75,-122.2,0.7
1.4097,37,4.0179910045,1.1034482759,1925,2.8860569715,37.76,-122.2,0.846
0.7683,38,4.2535612536,1.0541310541,1144,3.2592592593,37.76,-122.19,0.818
1.3194,19,4.2442307692,1.0865384615,1481,2.8480769231,37.75,-122.19,0.814
0.8012,28,5.2839506173,1.1666666667,435,2.6851851852,37.75,-122.19,0.818
1.9479,26,4.2673267327,0.9801980198,984,3.2475247525,37.76,-122.19,0.858
1.1765,36,5.3270440252,1.3333333333,567,3.5660377358,37.74,-122.19,0.871
2.3456,42,4.3983739837,1.2520325203,380,3.0894308943,37.74,-122.18,0.835
2.1538,44,4.368852459,1.0368852459,825,3.381147541,37.73,-122.19,0.797
